Load environment configuration
mkdir: created directory '/appsmith-stacks/data/certificate'
mkdir: created directory '/appsmith-stacks/data/certificate/conf'
'/opt/appsmith/editor/index.html' -> '/opt/appsmith/index.html.original'
172.18.0.1 - - [12/Dec/2022:11:08:20 +0000] "GET /api/v1/plugins/63970b5ead091f39c9f17b1f/form HTTP/1.1" 200 1943 "http://192.168.1.2/app/my-first-application/page1-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:20 +0000] "GET /api/v1/plugins/63970b5aad091f39c9f17a6f/form HTTP/1.1" 200 1021 "http://192.168.1.2/app/my-first-application/page1-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:20 +0000] "GET /static/media/icon.3cb03cd8ed8464c5725a5d89a8fa563f.svg HTTP/1.1" 200 438 "http://192.168.1.2/app/my-first-application/page1-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:20 +0000] "GET /static/media/icon.cb54df7a09016b0af5e520895be927b9.svg HTTP/1.1" 200 226 "http://192.168.1.2/app/my-first-application/page1-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:20 +0000] "GET /static/media/icon.cca026338f1c8eb6df8ba03d084c2fca.svg HTTP/1.1" 200 350 "http://192.168.1.2/app/my-first-application/page1-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:20 +0000] "GET /static/media/icon.d6773218cfb61dcfa5f460d43371e30d.svg HTTP/1.1" 200 599 "http://192.168.1.2/app/my-first-application/page1-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:20 +0000] "GET /static/media/icon.79c0d6de26a15bf464f2485130faa461.svg HTTP/1.1" 200 234 "http://192.168.1.2/app/my-first-application/page1-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:20 +0000] "GET /static/media/icon.cbd0db7a0bd317a6e4cbbd72417f8dee.svg HTTP/1.1" 200 672 "http://192.168.1.2/app/my-first-application/page1-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:20 +0000] "GET /static/media/icon.aaab032b43383e4fa53ffc0ef40c90ef.svg HTTP/1.1" 200 245 "http://192.168.1.2/app/my-first-application/page1-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:20 +0000] "GET /static/media/icon.6adbe31ed817fc4bfd66f9f0a6fc105c.svg HTTP/1.1" 200 199 "http://192.168.1.2/app/my-first-application/page1-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:20 +0000] "GET /static/media/icon.1977dca3370505e2db3a8e44cfd54907.svg HTTP/1.1" 200 311 "http://192.168.1.2/app/my-first-application/page1-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:20 +0000] "GET /static/media/icon.ecb3847950c4515966ef642a32758afb.svg HTTP/1.1" 200 246 "http://192.168.1.2/app/my-first-application/page1-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:20 +0000] "GET /static/media/icon.c4a2da6d32c0f212d031fca147e4f7cb.svg HTTP/1.1" 200 205 "http://192.168.1.2/app/my-first-application/page1-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:20 +0000] "GET /static/media/icon.300e5ab8e2e1c26c7a0bad06116842b7.svg HTTP/1.1" 200 337 "http://192.168.1.2/app/my-first-application/page1-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:20 +0000] "GET /static/media/icon.f312efcb48ce4dafb08c20291635b30b.svg HTTP/1.1" 200 604 "http://192.168.1.2/app/my-first-application/page1-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:20 +0000] "GET /static/media/icon.cbe8f608ca868e1eb44607e5fbd4a9e5.svg HTTP/1.1" 200 133 "http://192.168.1.2/app/my-first-application/page1-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:20 +0000] "GET /static/media/icon.09fcd36be84f09ed7312b2ed6a307b27.svg HTTP/1.1" 200 528 "http://192.168.1.2/app/my-first-application/page1-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:20 +0000] "GET /static/media/icon.7c5ad9c357928c6ff5701bf51a56c2e5.svg HTTP/1.1" 200 340 "http://192.168.1.2/app/my-first-application/page1-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
